Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Icarus","Bad Blood","Bastille","225000","5","124","","299"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"If It Feels Good (Then It Must Be)","Good Thing","Leon Bridges","194000","5","124","","71"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"If We Have Each Other","If We Have Each Other","Alec Benjamin","181000","5","68","","117"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"If You Could See Me Now","#3","The Script","219000","5","41","","335"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"If You See Her","Malibu Nights","LANY","182000","5","72","","72"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Ignite (feat. Seungri)","Ignite","K-391","210000","5","59","","122"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Immortals","American Beauty/American Psycho","Fall Out Boy","189000","5","85","","170"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Impossible","James Arthur (Deluxe)","James Arthur","209000","5","62","","9"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"In My Dreams (feat. Nikki Wilkins)","Rocket League (Official Game Soundtrack)","Mike Ault","384000","5","132","","222"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Instant Crush (feat. Julian Casablancas)","Random Access Memories","Daft Punk","337000","5","63","","240"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Into The Nothing","Dear Agony","Breaking Benjamin","223000","5","134","","292"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Into The Ocean","Foiled","Blue October","239000","5","72","","279"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Intoxicated","Intoxicated","Pomo","270000","5","55","","93"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Introdiction","Distraction Pieces","Scroobius Pip","209000","5","37","","311"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Invisible - (RED) Edit","Invisible (RED Edit Version)","U2","226000","5","38","","329"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Iron &amp; Steel","Iron &amp; Steel","Quinn XCII","203000","5","60","","152"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Is Everybody Going Crazy?","Is Everybody Going Crazy?","Nothing But Thieves","237000","5","47","","12"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Isolation","AB III","Alter Bridge","253000","5","33","","336"
